SNo.,FY,program name,Location name,Donor,State,District,Lake name,Acres,Total benificiaries (GP population),Latitude,Longitude,Location link,No. of saplings Planted,Traditional plantation done?,No.of Fish seedlings released
1,2025-2026,Wake The Lake,Devara Kere,Morgan Stanley,Karnataka,Bengaluru,Devara Kere,12.23,10891,12.898201,77.729805,https://maps.app.goo.gl/htFuHou8M5TKkvMe9,1000,yes,0
2,2024-2026,Wake The Lake,Kithaganur,Daimler,Karnataka,Bengaluru,Kithaganur,18.1,5876,13.0340082,77.7095624,https://maps.app.goo.gl/8u6m6baSmgYxVZ2e6,0,No,0
3,2024-2026,Wake The Lake,Nimbekaipura,Target,Karnataka,Bengaluru,Nimbekaipura,18.13,10760,13.0538974,77.7536616,https://maps.app.goo.gl/FUXhztGNdgNnCaT17,1000,Yes,0
4,2024-2026,Wake The Lake,Baiyappanahalli,Target,Karnataka,Bengaluru,Baiyappanahalli,27.75,14245,13.072653,77.723665,https://maps.app.goo.gl/NDEpC1C3H5tV3FjVA,1000,Yes,0
5,2024-2027,Wake The Lake,Andakkana Kere,CBA,Karnataka,Bengaluru Rural,Andakkana Kere,17.75,12364,12.9861876,77.8005,https://maps.app.goo.gl/JcVP9tBRHFAa3J8Q6,500,yes,20000
6,2024-2026,Wake The Lake,Kanekallu,Ujjivan,Karnataka,Bengaluru,Kanekallu,18.5,9219,12.9914554,77.8245293,https://maps.app.goo.gl/83CT72LbdEFtaT2F6,1090,Yes,25000
7,2025-2027,Wake The Lake,Pillahalli,Himalaya wellness,Karnataka,Bengaluru,Pillahalli,35.13,8489,13.1071291,77.4229724,https://maps.app.goo.gl/WPxKT7gWrPbKBHty6,0,No,0
8,2025-2027,Wake The Lake,Bodhanahosahalli,Mphasis,Karnataka,Bengaluru,Bodhanahosahalli,17.75,8965,12.9824385,77.8031115,https://maps.app.goo.gl/NvCkPFPbmr2Mm2rR7,0,No,0
9,2025-2027,Wake The Lake,Punagumaranahalli,Manjushree,Karnataka,Bengaluru,Punagumaranahalli,17.25,18696,12.9113138,77.4082145,https://maps.app.goo.gl/W82rhot3CmngeAjDA,0,No,0
10,2025-2026,Wake The Lake,Cheemandahalli,Target,Karnataka,Bengaluru Rural,Cheemandahalli,9.12,0,13.0510124,77.8146628,https://maps.app.goo.gl/U36QZqBYKjN3jxoEA,0,No,0
11,2025-2026,Wake The Lake,Ganagalu,Broadcom,Karnataka,Bengaluru Rural,Ganagalu,27.45,0,13.0554557,77.80274,https://maps.app.goo.gl/Tr4MkVh2MaMbPDnN9,1500,Yes,20000
12,2025-2026,Wake The Lake,S. Guttahalli,Broadcom,Karnataka,Bengaluru Rural,S. Guttahalli,27.88,9476,13.040966,77.7887945,https://maps.app.goo.gl/L2nzN9Ey8VoLzZp3A,1500,Yes,20000
13,2025-2028,Wake The Lake,Nagamangala,CBA,Karnataka,Bengaluru Rural,Nagamangala,20,9054,13.2210035,77.6173544,https://maps.app.goo.gl/DLj1qnmhATMcdqsC8,0,No,0
14,2025-2029,Wake The Lake,Dyavarahalli,Cadence (Beta CAE),Karnataka,Bengaluru Rural,Dyavarahalli,11.1,5396,13.2243839,77.59788157,https://maps.app.goo.gl/U6gXu6qXPFS5sDyg7,0,No,0
15,2025-2028,Wake The Lake,Arehalli,NatWest,Karnataka,Bengaluru Rural,Arehalli,10.2,4483,12.931863,77.8285224,https://maps.app.goo.gl/CCuRYewpyxeQV4JA6,0,No,0
16,2025-2028,Wake The Lake,Hegganahalli,Kotak,Karnataka,Bengaluru Rural,Hegganahalli,8.92,0,13.2133557,77.61203,https://maps.app.goo.gl/YYY2zSY3creBrZua7,,,
17,2025-2028,Wake The Lake,Doddadasarahalli,microfocus- open text,Karnataka,Bengaluru Rural,Doddadasarahalli,20,0,13.006637,77.83655,https://maps.app.goo.gl/gK2uECx69e2ozCpw8,0,No,0
18,2025-2029,Mangroves,kudikadu,Caterpillar,Tamilnadu,Cuddalore,kudikadu,10,,11.698829,79.77553,https://maps.app.goo.gl/PWfZjoRm5FZiu5RdA,0,,
19,2025-2026,Mangroves,Kudikadu,Deloitte,Tamilnadu,Cuddalore,Kudikadu,14,,11.668728,79.75745,https://maps.app.goo.gl/rdry1njbymxmvKRo8,0,,
20,2025-2027,Afforestation,Pollenahalli,Mphasis,Karnataka,Tumakuru,Pollenahalli,,,13.4809529,77.36804,https://maps.app.goo.gl/Qj3XwKotvXvWNhLX7,100000,,
21,2024-2026,Afforestation,Thathahalli,Happiest minds,Karnataka,Chikkaballapura,Thathahalli,,,13.4315968,77.89205,https://maps.app.goo.gl/eTAEXMQPnENeHLPz8,10000,,
22,2025-2026,Afforestation,Andakanakere,wells fargo,Karnataka,Bengaluru,Andakanakere,,,12.9861876,77.8005,https://maps.app.goo.gl/9iZrtTCGXEhPh45e8,5000,,
23,2025-2026,Afforestation,Elcot,wells fargo,Tamilnadu,Chennai,Elcot,,,12.908323,80.2167,https://maps.app.goo.gl/Aqo4HpksmYg4Pu387,2000,,
24,2026-2027,Afforestation,Pollenahalli,GE Aerospace,Karnataka,Tumakuru,Pollenahalli,,,13.4809529,77.36804,https://maps.app.goo.gl/KKTF9viLqRurMnJL8,,,
25,2025-2026,Afforestation,Pollenahalli,GE Aerospace,Karnataka,Tumakuru,Pollenahalli,,,13.4809529,77.36804,https://maps.app.goo.gl/HW75yRrrcJsF8wK76,,,
